LEV 1:1	Domnul l-a chemat pe Moise și i-a vorbit din Cortul Întâlnirii, spunând:
LEV 2:4	Dacă aduci ca dar o jertfă de mâncare coaptă în cuptor, să fie din turte de floarea făinii fără aluat, frământate cu untdelemn, sau din foițe fără aluat, unse cu untdelemn.
LEV 2:5	Dacă darul tău este o jertfă de mâncare pregătită pe plită, să fie din floarea făinii fără aluat, frământată cu untdelemn.
LEV 2:6	Să o rupi în bucăți și să torni untdelemn peste ea; este o jertfă de mâncare.
LEV 2:7	Dacă darul tău este o jertfă de mâncare pregătită în tigaie, să fie făcută din floarea făinii cu untdelemn.
LEV 2:8	Să aduci Domnului jertfa de mâncare făcută din aceste lucruri și să o dai preotului, iar el o va aduce la altar.
LEV 2:9	Preotul să ia din jertfa de mâncare partea de aducere aminte și să o ardă pe altar ca jertfă mistuită de foc, de un miros plăcut Domnului.
LEV 2:10	Ce va rămâne din jertfa de mâncare va fi a lui Aaron și a fiilor lui; este un lucru preasfânt din jertfele mistuite de foc ale Domnului.
LEV 2:11	Nicio jertfă de mâncare pe care o veți aduce Domnului să nu fie făcută cu aluat, căci nu trebuie să ardeți niciun fel de aluat și nicio miere ca jertfă mistuită de foc pentru Domnul.
LEV 2:12	Le veți putea aduce Domnului ca dar din primele roade, dar pe altar să nu se ridice ca miros plăcut.
LEV 2:13	Toate darurile tale de jertfă de mâncare să le sărezi cu sare; să nu lași să lipsească de pe jertfa ta de mâncare sarea legământului Dumnezeului tău. La toate darurile tale să aduci sare.
LEV 2:14	Dacă aduci Domnului o jertfă de mâncare din primele roade, să aduci spic verde prăjit la foc, boabe zdrobite din spice noi, ca jertfă de mâncare din primele tale roade.
LEV 2:15	Să torni untdelemn pe ea și să pui tămâie pe ea; este o jertfă de mâncare.
LEV 2:16	Preotul să ardă ca aducere aminte o parte din boabele zdrobite și din untdelemn, împreună cu toată tămâia; este o jertfă mistuită de foc pentru Domnul.
LEV 3:1	Dacă darul cuiva este o jertfă de pace și aduce din cireadă un mascul sau o femelă, să aducă înaintea Domnului un animal fără cusur.
LEV 3:2	Să-și pună mâna pe capul jertfei sale și să o junghie la intrarea Cortului Întâlnirii, iar fiii lui Aaron, preoții, să stropească cu sângele pe altar de jur împrejur.
LEV 3:3	Din jertfa de pace să aducă ca jertfă mistuită de foc pentru Domnul: grăsimea care acoperă măruntaiele și toată grăsimea de pe măruntaie,
LEV 3:4	cei doi rinichi cu grăsimea de pe ei, de lângă coapse, și rețeaua de pe ficat, pe care o va disloca împreună cu rinichii.
LEV 3:5	Fiii lui Aaron să le ardă pe altar, peste jertfa de ardere de tot care este pe lemnele de pe foc. Aceasta este o jertfă mistuită de foc, de un miros plăcut Domnului.
LEV 3:6	Dacă darul lui pentru o jertfă de pace adusă Domnului este din turmă, fie mascul, fie femelă, să îl aducă fără cusur.
LEV 3:7	Dacă aduce un miel ca dar al său, să îl aducă înaintea Domnului.
LEV 3:8	Să-și pună mâna pe capul jertfei sale și să o junghie înaintea Cortului Întâlnirii, iar fiii lui Aaron să stropească cu sângele ei pe altar de jur împrejur.
LEV 3:9	Din jertfa de pace să aducă ca jertfă mistuită de foc pentru Domnul grăsimea ei: coada întreagă, pe care o va tăia de la osul spinării, grăsimea care acoperă măruntaiele și toată grăsimea de pe măruntaie,
LEV 3:10	cei doi rinichi cu grăsimea de pe ei, de lângă coapse, și rețeaua de pe ficat, pe care o va disloca împreună cu rinichii.
LEV 3:11	Preotul să le ardă pe altar; aceasta este hrana jertfei mistuite de foc pentru Domnul.
LEV 3:12	Dacă darul lui este o capră, să o aducă înaintea Domnului.
LEV 3:13	Să-și pună mâna pe capul ei și să o junghie înaintea Cortului Întâlnirii, iar fiii lui Aaron să stropească cu sângele ei pe altar de jur împrejur.
LEV 3:14	Din ea să-și aducă darul ca jertfă mistuită de foc pentru Domnul: grăsimea care acoperă măruntaiele și toată grăsimea de pe măruntaie,
LEV 3:15	cei doi rinichi cu grăsimea de pe ei, de lângă coapse, și rețeaua de pe ficat, pe care o va disloca împreună cu rinichii.
LEV 3:16	Preotul să le ardă pe altar; aceasta este hrana jertfei mistuite de foc, de un miros plăcut. Toată grăsimea este a Domnului.
LEV 3:17	Aceasta este o ordonanță veșnică pentru generațiile voastre, în toate locuințele voastre: să nu mâncați niciun fel de grăsime și niciun fel de sânge.
LEV 4:1	Domnul i-a vorbit lui Moise, spunând:
LEV 4:2	„Vorbește fiilor lui Israel și spune-le: Când cineva va păcătui din neatenție împotriva vreuneia din poruncile Domnului, făcând ceva ce nu trebuie făcut,
LEV 4:3	dacă preotul cel uns va păcătui, aducând vină asupra poporului, să aducă Domnului pentru păcatul pe care l-a săvârșit un taur din cireadă, fără cusur, ca jertfă pentru păcat.
LEV 4:4	Să aducă taurul la intrarea Cortului Întâlnirii, înaintea Domnului, să-și pună mâna pe capul taurului și să junghie taurul înaintea Domnului.
LEV 4:5	Preotul cel uns să ia din sângele taurului și să îl ducă în Cortul Întâlnirii.
LEV 4:6	Preotul să-și moaie degetul în sânge și să stropească din sânge de șapte ori înaintea Domnului, înaintea perdelei Sfântului Lăcaș.
LEV 4:7	Preotul să pună din sânge pe coarnele altarului tămâierii miresmelor, care este în Cortul Întâlnirii înaintea Domnului, iar tot celălalt sânge al taurului să-l verse la baza altarului arderilor de tot, care este la intrarea Cortului Întâlnirii.
LEV 4:8	Toată grăsimea taurului jertfei pentru păcat să o ridice de pe el: grăsimea care acoperă măruntaiele și toată grăsimea de pe măruntaie,
LEV 4:9	cei doi rinichi cu grăsimea de pe ei, de lângă coapse, și rețeaua de pe ficat, pe care o va disloca împreună cu rinichii,
LEV 4:10	așa cum se scoate de pe taurul jertfei de pace; iar preotul să le ardă pe altarul arderilor de tot.
LEV 4:11	Dar pielea taurului și toată carnea lui, cu capul, picioarele, măruntaiele și bălegarul lui,
LEV 4:12	adică tot taurul, să îl scoată afară din tabără, într-un loc curat, unde se aruncă cenușa, și să îl ardă pe lemne în foc; unde se aruncă cenușa, acolo să fie ars.
LEV 4:13	Dacă întreaga comunitate a lui Israel va greși din neatenție și lucrul va fi ascuns de ochii adunării, făcând una din faptele oprite de poruncile Domnului și devenind astfel vinovată,
LEV 4:14	când se va cunoaște păcatul pe care l-au săvârșit, adunarea să aducă un taur din cireadă ca jertfă pentru păcat și să îl aducă înaintea Cortului Întâlnirii.
LEV 4:15	Bătrânii adunării să-și pună mâinile pe capul taurului înaintea Domnului și taurul să fie junghiat înaintea Domnului.
LEV 4:16	Preotul cel uns să aducă din sângele taurului în Cortul Întâlnirii.
LEV 4:17	Preotul să-și moaie degetul în sânge și să stropească de șapte ori înaintea Domnului, înaintea perdelei.
LEV 4:18	Să pună din sânge pe coarnele altarului care este înaintea Domnului, în Cortul Întâlnirii, iar tot celălalt sânge să-l verse la baza altarului arderilor de tot, care este la intrarea Cortului Întâlnirii.
LEV 4:19	Toată grăsimea taurului să o scoată de pe el și să o ardă pe altar.
LEV 4:20	Să facă cu acest taur cum a făcut cu taurul jertfei pentru păcat; așa să facă cu el. Preotul să facă ispășire pentru ei și le va fi iertat.
LEV 4:21	Apoi să scoată taurul afară din tabără și să îl ardă cum a ars primul taur. Aceasta este jertfa pentru păcat a adunării.
LEV 4:22	Când un conducător va păcătui și va face din neatenție ceva împotriva uneia din toate poruncile Domnului Dumnezeului său, făcând ce este oprit, și se va face vinovat,
LEV 4:23	sau dacă i se va aduce la cunoștință păcatul pe care l-a comutat, să aducă drept prinos al său un țap fără cusur.
LEV 4:24	Să-și pună mâna pe capul țapului și să îl junghie în locul unde se junghie jertfele de ardere de tot înaintea Domnului; este o jertfă pentru păcat.
LEV 4:25	Preotul să ia cu degetul din sângele jertfei pentru păcat și să pună pe coarnele altarului arderilor de tot, iar celălalt sânge să-l verse la baza altarului arderilor de tot.
LEV 4:26	Toată grăsimea lui să o ardă pe altar ca grăsimea jertfei de pace. Preotul să facă ispășire pentru el de păcatul lui și îi va fi iertat.
LEV 4:27	Dacă cineva din popor va păcătui din neatenție, făcând ceva împotriva uneia din poruncile Domnului și devenind astfel vinovat,
LEV 4:28	sau dacă i se va aduce la cunoștință păcatul pe care l-a săvârșit, să aducă drept dar al său o capră fără cusur, o femelă, pentru păcatul pe care l-a comutat.
LEV 4:29	Să-și pună mâna pe capul jertfei pentru păcat și să junghie jertfa pentru păcat în locul arderii de tot.
LEV 4:30	Preotul să ia cu degetul din sângele ei și să pună pe coarnele altarului arderilor de tot, iar tot celălalt sânge să-l verse la baza altarului.
LEV 4:31	Toată grăsimea ei să o scoată, cum se scoate grăsimea de pe jertfa de pace, și preotul să o ardă pe altar ca un miros plăcut Domnului. Preotul să facă ispășire pentru el și îi va fi iertat.
LEV 4:32	Dacă va aduce un miel ca prinos al său pentru păcat, să aducă o femelă fără cusur.
LEV 4:33	Să-și pună mâna pe capul jertfei pentru păcat și să o junghie ca jertfă pentru păcat în locul unde se junghie jertfele de ardere de tot.
LEV 4:34	Preotul să ia cu degetul din sângele jertfei pentru păcat și să pună pe coarnele altarului arderilor de tot, iar tot celălalt sânge să-l verse la baza altarului.
LEV 4:35	Toată grăsimea ei să o scoată, cum se scoate grăsimea mielului din jertfa de pace, iar preotul să le ardă pe altar, peste jertfele mistuite de foc pentru Domnul. Astfel preotul va face ispășire pentru el de păcatul pe care l-a comutat și îi va fi iertat.”
LEV 5:1	Dacă cineva păcătuiește când aude jurământul de blestem și este martor care a văzut sau a aflat ceva, dar nu declară, el își va purta vina.
LEV 5:2	Sau dacă cineva se atinge de vreun lucru necurat, fie de stârvul unei fiare necurate, fie de stârvul unui animal necurat, fie de stârvul unei vietăți necurate care se târăște, fără să-și dea seama, va fi necurat și vinovat.
LEV 5:3	Sau dacă se atinge de necurăția vreunui om, de orice necurăție prin care se întinează cineva, fără să știe, iar mai târziu își dă seama, va fi vinovat.
LEV 5:4	Sau dacă cineva jură nechibzuit cu buzele lui să facă rău sau să facă bine, în orice lucru în care jură un om nechibzuit, fără să-și dea seama pe moment, iar mai târziu înțelege, va fi vinovat într-unul din aceste lucruri.
LEV 5:5	Când se va face vinovat de unul din aceste lucruri, să mărturisească păcatul pe care l-a comutat.
LEV 5:6	Să aducă Domnului ca jertfă pentru vina sa, pentru păcatul comutat, o femelă din turmă, o oaie sau o capră, ca jertfă pentru păcat, iar preotul va face ispășire pentru el de păcatul lui.
LEV 5:7	Dacă mijloacele lui nu-i îngăduie să aducă o oaie, să aducă Domnului ca jertfă pentru vina săvârșită două turturele sau doi pui de porumbel, unul ca jertfă pentru păcat și celălalt ca jertfă de ardere de tot.
LEV 5:8	Să-i aducă preotului, iar el va aduce mai întâi pe cel rânduit ca jertfă pentru păcat și îi va frânge capul de la gât, fără să-l despartă.
LEV 5:9	Să stropească din sângele jertfei pentru păcat pe peretele altarului, iar restul sângelui să fie stors la baza altarului; este o jertfă pentru păcat.
LEV 5:10	Pe celălalt să-l pregătească ca jertfă de ardere de tot, după rânduială. Astfel preotul va face ispășire pentru el de păcatul pe care l-a comutat și îi va fi iertat.
LEV 5:11	Dacă mijloacele lui nu-i îngăduie nici două turturele sau doi pui de porumbel, să aducă drept dar pentru păcatul săvârșit a zecea parte dintr-o efă de floarea făinii ca jertfă pentru păcat. Să nu pună untdelemn pe ea și să nu pună tămâie pe ea, pentru că este o jertfă pentru păcat.
LEV 5:12	Să o aducă preotului, iar preotul să ia din ea un pumn plin ca aducere aminte și să o ardă pe altar peste jertfele mistuite de foc pentru Domnul; este o jertfă pentru păcat.
LEV 5:13	Preotul va face ispășire pentru el de păcatul pe care l-a comutat într-unul din aceste lucruri și îi va fi iertat. Restul va fi al preotului, ca la jertfa de mâncare.”
LEV 5:14	Domnul i-a vorbit lui Moise, spunând:
LEV 5:15	„Dacă cineva va săvârși o abatere și va păcătui din neatenție față de lucrurile sfinte ale Domnului, să aducă Domnului ca jertfă pentru vină un berbec fără cusur din turmă, prețuit în șecheli de argint după șechelul sfântului lăcaș, ca jertfă pentru vină.
LEV 5:16	Să restituie ce a scăzut din lucrurile sfinte, adăugând o cincime la valoare, și să o dea preotului. Preotul va face ispășire pentru el cu berbecul jertfei pentru vină și îi va fi iertat.
LEV 5:17	Dacă cineva păcătuiește și face fără să știe vreunul din lucrurile pe care poruncile Domnului opresc să le facă, se face vinovat și își va purta vina.
LEV 5:18	Să aducă preotului un berbec fără cusur din turmă, la prețuirea ta, ca jertfă pentru vină. Preotul va face ispășire pentru el de greșeala săvârșită din neatenție, fără să știe, și îi va fi iertat.
LEV 5:19	Este o jertfă pentru vină; el s-a făcut cu adevărat vinovat înaintea Domnului.
LEV 6:1	Domnul i-a vorbit lui Moise, spunând:
LEV 6:2	„Dacă cineva va păcătui și va comite o abatere împotriva Domnului, tăgăduind aproapelui său un lucru încredințat sau dat în gaj, sau un bun furat, sau dacă și-a asuprit aproapele,
LEV 6:3	sau dacă a găsit un lucru pierdut și îl tăgăduiește, jurând strâmb cu privire la vreunul din lucrurile pe care le face omul păcătuind,
LEV 6:4	când va păcătui astfel și se va face vinovat, să restituie lucrul furat, sau bunul luat prin stoarcere, sau ce i s-a încredințat în păstrare, sau lucrul pierdut pe care l-a găsit,
LEV 6:5	sau orice lucru despre care a jurat strâmb. Să-l restituie integral și să mai adauge o cincime la valoarea lui, dându-l proprietarului său în ziua când își aduce jertfa pentru vină.
LEV 6:6	Să aducă preotului ca jertfă pentru vină adusă Domnului un berbec fără cusur din turmă, prețuit de tine, ca jertfă pentru vină.
LEV 6:7	Preotul va face ispășire pentru el înaintea Domnului și îi va fi iertat orice lucru prin care s-a făcut vinovat.”
LEV 6:8	Domnul i-a vorbit lui Moise, spunând:
LEV 6:9	„Poruncește lui Aaron și fiilor lui, spunând: Aceasta este legea jertfei de ardere de tot. Jertfa de ardere de tot să rămână pe vatră, pe altar, toată noaptea până dimineața, iar focul altarului să fie ținut aprins pe el.
LEV 6:10	Preotul să se îmbrace cu tunica lui de in și să-și pună izmenele de in pe trup. Să ridice cenușa în care focul a mistuit jertfa de ardere de tot pe altar și să o pună lângă altar.
LEV 6:11	Apoi să-și schimbe hainele și să se îmbrace cu alte haine, ca să scoată cenușa afară din tabără, într-un loc curat.
LEV 6:12	Focul de pe altar să fie ținut aprins pe el; să nu se stingă. Preotul să ardă lemne pe el în fiecare dimineață, să așeze jertfa de ardere de tot pe el și să ardă pe el grăsimile jertfelor de pace.
LEV 6:13	Focul să ardă necontenit pe altar; să nu se stingă niciodată.
LEV 6:14	Aceasta este legea jertfei de mâncare: fiii lui Aaron să o aducă înaintea Domnului, în fața altarului.
LEV 6:15	Preotul să ia din ea un pumn de floarea făinii jertfei de mâncare și din untdelemnul ei, împreună cu toată tămâia de pe jertfa de mâncare, și să o ardă pe altar ca aducere aminte de un miros plăcut Domnului.
LEV 6:16	Ce va rămâne din ea să mănânce Aaron și fiii lui. Să fie mâncată fără aluat într-un loc sfânt; în curtea Cortului Întâlnirii să o mănânce.
LEV 6:17	Să nu fie coaptă cu aluat. Le-am dat-o ca parte a lor din jertfele Mele mistuite de foc; este un lucru preasfânt, ca și jertfa pentru păcat și jertfa pentru vină.
LEV 6:18	Orice parte bărbătească dintre fiii lui Aaron poate mânca din ea. Aceasta este o rânduială veșnică pentru generațiile voastre, din jertfele mistuite de foc ale Domnului. Oricine se va atinge de ele va fi sfânt.”
LEV 6:19	Domnul i-a vorbit lui Moise, spunând:
LEV 6:20	„Acesta este prinosul pe care îl vor aduce Aaron și fiii lui Domnului în ziua când vor fi unși: a zecea parte dintr-o efă de floarea făinii ca jertfă de mâncare necontenită, jumătate dimineața și jumătate seara.
LEV 6:21	Să fie pregătită pe plită cu untdelemn; o vei aduce frământată și vei aduce bucățile coapte ale jertfei de mâncare ca miros plăcut Domnului.
LEV 6:22	Preotul uns dintre fiii lui, care îi va urma, să o pregătească. Este o rânduială veșnică pentru Domnul: să fie arsă în întregime.
LEV 6:23	Orice jertfă de mâncare a preotului să fie arsă în întregime; să nu fie mâncată.”
LEV 6:24	Domnul i-a vorbit lui Moise, spunând:
LEV 6:25	„Vorbește lui Aaron și fiilor lui, spunând: Aceasta este legea jertfei pentru păcat: în locul unde se junghie jertfa de ardere de tot să fie junghiată și jertfa pentru păcat înaintea Domnului; este un lucru preasfânt.
LEV 6:26	Preotul care o aduce ca jertfă pentru păcat să o mănânce. Să fie mâncată într-un loc sfânt, în curtea Cortului Întâlnirii.
LEV 6:27	Oricine se va atinge de carnea ei va fi sfânt; iar dacă se va stropi cu sângele ei pe vreo haină, ce a fost stropit să speli într-un loc sfânt.
LEV 6:28	Vasul de lut în care a fost fiartă să fie spart; iar dacă a fost fiartă într-un vas de aramă, acesta să fie frecat și spălat cu apă.
LEV 6:29	Orice parte bărbătească dintre preoți poate mânca din ea; este un lucru preasfânt.
LEV 6:30	Dar nicio jertfă pentru păcat al cărei sânge este dus în Cortul Întâlnirii ca să facă ispășire în Sfântul Lăcaș să nu fie mâncată; ci să fie arsă în foc.”
LEV 7:1	„Aceasta este legea jertfei pentru vină: ea este un lucru preasfânt.
LEV 7:2	În locul unde se junghie jertfa de ardere de tot să se junghie și jertfa pentru vină, iar sângele ei să fie stropit pe altar de jur împrejur.
LEV 7:3	Să aducă din ea toată grăsimea: coada întreagă și grăsimea care acoperă măruntaiele,
LEV 7:4	cei doi rinichi cu grăsimea de pe ei, de lângă coapse, și rețeaua de pe ficat, pe care o va disloca împreună cu rinichii.
LEV 7:5	Preotul să le ardă pe altar ca jertfă mistuită de foc pentru Domnul; este o jertfă pentru vină.
LEV 7:6	Orice parte bărbătească dintre preoți poate mânca din ea; să fie mâncată într-un loc sfânt, căci este un lucru preasfânt.
LEV 7:7	Cum este jertfa pentru păcat, așa este și jertfa pentru vină: este o singură lege pentru ele. Preotul care face ispășire prin ea o va avea.
LEV 7:8	Preotul care aduce jertfa de ardere de tot a cuiva va avea pentru sine pielea jertfei de ardere de tot pe care a adus-o.
LEV 7:9	Orice jertfă de mâncare coaptă în cuptor sau pregătită în tigaie sau pe plită va fi a preotului care o aduce.
LEV 7:10	Dar orice jertfă de mâncare frământată cu untdelemn sau uscată va fi a tuturor fiilor lui Aaron, a unuia ca și a altuia.
LEV 7:11	Aceasta este legea jertfei de pace pe care o va aduce cineva Domnului.
LEV 7:12	Dacă o aduce ca jertfă de mulțumire, să aducă împreună cu jertfa de mulțumire turte fără aluat frământate cu untdelemn, foițe fără aluat unse cu untdelemn și turte din floarea făinii opărită, frământate cu untdelemn.
LEV 7:13	Pe lângă turte, să-și aducă prinosul cu pâine dospită, împreună cu jertfa sa de pace adusă ca mulțumire.
LEV 7:14	Din toate acestea să aducă câte o bucată din fiecare prinos ca dar ridicat pentru Domnul; ea va fi a preotului care stropește sângele jertfei de pace.
LEV 7:15	Carnea jertfei sale de pace adusă ca mulțumire să fie mâncată în ziua aducerii ei; să nu lase nimic din ea până dimineața.
LEV 7:16	Dacă jertfa pe care o aduce ca prinos este un jurământ sau un dar de bunăvoie, să fie mâncată în ziua când își aduce jertfa, iar ce va rămâne din ea să se mănânce a doua zi.
LEV 7:17	Dar ce va mai rămâne din carnea jertfei până în ziua a treia să fie ars în foc.
LEV 7:18	Dacă se va mânca din carnea jertfei sale de pace în ziua a treia, ea nu va fi primită, iar celui ce a adus-o nu-i va fi luată în seamă; va fi un lucru urâcios și cine va mânca din ea își va purta vina.
LEV 7:19	Carnea care se va atinge de ceva necurat să nu se mănânce, ci să fie arsă în foc. Cât despre altă carne, oricine este curat poate mânca din ea.
LEV 7:20	Dar omul care va mânca din carnea jertfei de pace a Domnului având pe el necurăția sa, omul acela să fie nimicit din poporul său.
LEV 7:21	Dacă cineva se va atinge de ceva necurat, de necurăția unui om, de un animal necurat sau de orice urâciune necurată și va mânca din carnea jertfei de pace a Domnului, omul acela să fie nimicit din poporul său.
LEV 7:22	Domnul i-a vorbit lui Moise, spunând:
LEV 7:23	„Vorbește fiilor lui Israel și spune-le: Să nu mâncați niciun fel de grăsime de taur, de miel sau de capră.
LEV 7:24	Grăsimea unui animal mort sau sfâșiat va putea fi folosită la orice alt lucru, dar de mâncat să nu o mâncați nicidecum.
LEV 7:25	Căci oricine va mânca din grăsimea animalului din care se aduce Domnului o jertfă mistuită de foc, omul care va mânca să fie nimicit din poporul său.
LEV 7:26	Să nu mâncați niciun fel de sânge, nici de pasăre, nici de animal, în toate locuințele voastre.
LEV 7:27	Oricine va mânca vreun fel de sânge, sufletul acela să fie nimicit din poporul său.”
LEV 7:28	Domnul i-a vorbit lui Moise, spunând:
LEV 7:29	„Vorbește fiilor lui Israel și spune-le: Cine își aduce jertfa sa de pace Domnului să aducă prinosul său Domnului din jertfa lui de pace.
LEV 7:30	Mâinile lui să aducă jertfele mistuite de foc ale Domnului: să aducă grăsimea împreună cu pieptul, pentru ca pieptul să fie legănat ca dar legănat înaintea Domnului.
LEV 7:31	Preotul să ardă grăsimea pe altar, iar pieptul să fie al lui Aaron și al fiilor lui.
LEV 7:32	Spata dreaptă din jertfele voastre de pace să o dați preotului ca dar ridicat.
LEV 7:33	Aceluia dintre fiii lui Aaron care va aduce sângele jertfelor de pace și grăsimea, aceluia îi va reveni spata dreaptă ca parte a lui.
LEV 7:34	Căci am luat de la fiii lui Israel, din jertfele lor de pace, pieptul legănat și spata ridicată și le-am dat preotului Aaron și fiilor lui prin ordonanță veșnică din partea fiilor lui Israel.”
LEV 7:35	Aceasta este partea ungerii lui Aaron și a ungerii fiilor lui din jertfele mistuite de foc ale Domnului, din ziua în care i-a înfățișat ca să slujească Domnului ca preoți,
LEV 7:36	pe care Domnul a poruncit fiilor lui Israel să le-o dea în ziua când i-a uns; este o ordonanță veșnică pentru generațiile lor.
LEV 7:37	Aceasta este legea jertfei de ardere de tot, a jertfei de mâncare, a jertfei pentru păcat, a jertfei pentru vină, a jertfei de consacrare și a jertfei de pace,
LEV 7:38	pe care Domnul i-a poruncit-o lui Moise pe Muntele Sinai, în ziua când le-a poruncit fiilor lui Israel să-și aducă darurile Domnului în Pustiul Sinai.”
LEV 8:1	Domnul i-a vorbit lui Moise, spunând:
LEV 8:2	„Ia pe Aaron și pe fiii lui împreună cu el, veșmintele, untdelemnul ungerii, taurul jertfei pentru păcat, cei doi berbeci și coșul cu pâini fără aluat,
LEV 8:3	și adună toată comunitatea la intrarea Cortului Întâlnirii.”
LEV 8:4	Moise a făcut așa cum îi poruncise Domnul și comunitatea s-a adunat la intrarea Cortului Întâlnirii.
LEV 8:5	Moise a zis comunității: „Iată ce a poruncit Domnul să se facă.”
LEV 8:6	Moise i-a apropiat pe Aaron și pe fiii lui și i-a spălat cu apă.
LEV 8:7	I-a pus lui Aaron tunica, l-a încins cu brâul, l-a îmbrăcat cu mantia, i-a pus efodul și l-a încins cu brâul artistic al efodului, strângându-l pe el.
LEV 8:8	I-a pus pieptarul și în pieptar a pus Urim și Tumim.
LEV 8:9	I-a pus mitra pe cap, iar pe mitră, în față, a pus tăblița de aur, coroana sfântă, așa cum îi poruncise Domnul lui Moise.
LEV 8:10	Moise a luat untdelemnul ungerii și a uns Cortul și tot ce era în el, sfințindu-le.
LEV 8:11	A stropit din el de șapte ori pe altar și a uns altarul și toate uneltele lui, precum și ligheanul cu piciorul lui, ca să le sfințească.
LEV 8:12	A turnat din untdelemnul ungerii pe capul lui Aaron și l-a uns ca să-l sfințească.
LEV 8:13	Moise i-a apropiat și pe fiii lui Aaron, i-a îmbrăcat cu tunici, i-a încins cu brâie și le-a legat scufiile, așa cum îi poruncise Domnul lui Moise.
LEV 8:14	A adus taurul jertfei pentru păcat, iar Aaron și fiii lui și-au pus mâinile pe capul taurului jertfei pentru păcat.
LEV 8:15	Moise l-a junghiat, a luat sângele și a pus cu degetul pe coarnele altarului de jur împrejur, curățând altarul; apoi a turnat sângele la baza altarului și l-a sfințit ca să facă ispășire pe el.
LEV 8:16	Moise a luat toată grăsimea de pe măruntaie, rețeaua ficatului și cei doi rinichi cu grăsimea lor și le-a ars pe altar.
LEV 8:17	Iar taurul, pielea lui, carnea lui și bălegarul lui le-a ars în foc afară din tabără, așa cum îi poruncise Domnul lui Moise.
LEV 8:18	A adus berbecul jertfei de ardere de tot, iar Aaron și fiii lui și-au pus mâinile pe capul berbecului.
LEV 8:19	Moise l-a junghiat și a stropit sângele pe altar de jur împrejur.
LEV 8:20	A tăiat berbecul în bucăți și a ars capul, bucățile și grăsimea.
LEV 8:21	A spălat măruntaiele și picioarele cu apă, iar Moise a ars tot berbecul pe altar ca jertfă de ardere de tot de un miros plăcut, o jertfă mistuită de foc pentru Domnul, așa cum îi poruncise Domnul lui Moise.
LEV 8:22	A adus și al doilea berbec, berbecul consacrării, iar Aaron și fiii lui și-au pus mâinile pe capul berbecului.
LEV 8:23	Moise l-a junghiat, a luat din sângele lui și a pus pe lobul urechii drepte a lui Aaron, pe degetul mare al mâinii lui drepte și pe degetul mare al piciorului lui drept.
